URL,DSLD ID,Product Name,Company Name,Address,City,State,ZIP,Country,Manufacturer,Distributor,Packager,Reseller,Other
https://dsld.od.nih.gov/label/210509,210509,Elite 100% Whey Vanilla Cupcake,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210510,210510,Wheybolic Alpha Chocolate Fudge,General Nutrition Corporation,,Pittsburgh,PA,15222,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210511,210511,Elite 100% Whey Cafe Mocha,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210512,210512,MegaFlora for Baby & Me,MegaFood,PO Box 5244,Manchester,NH,03108,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210513,210513,Elite 100% Whey Chocolate Cake Batter,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210514,210514,Elite 100% Whey Chocolate Fudge,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210515,210515,Blood Builder,MegaFood,PO Box 5244,Manchester,NH,03108,,yes,no,no,no,no
https://dsld.od.nih.gov/label/210516,210516,Elite 100% Whey Chocolate Peanut Butter,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210517,210517,Complex C,MegaFood,PO Box 5244,Manchester,NH,03108,,yes,no,no,no,no
https://dsld.od.nih.gov/label/210518,210518,Elite 100% Whey Cookies & Cream,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210519,210519,Mass XXX Chocolate,General Nutrition Corporation,,Pittsburgh,PA,15222,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210520,210520,Elite 100% Whey Gourmet Vanilla,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210521,210521,Elite 100% Whey Raspberry Cheesecake,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210522,210522,SRM Andarine MK-677,Xcel Sports Nutrition,,,,,,yes,no,no,no,no
https://dsld.od.nih.gov/label/210523,210523,Complex C,MegaFood,PO Box 5244,Manchester,NH,03108,,yes,no,no,no,no
https://dsld.od.nih.gov/label/210524,210524,Elite 100% Whey Rich Chocolate,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210525,210525,Elite 100% Whey Strawberry Blast,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210526,210526,Elite 100% Whey Gourmet Vanilla,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210527,210527,Complex C,MegaFood,PO Box 5244,Manchester,NH,03108,,yes,no,no,no,no
https://dsld.od.nih.gov/label/210528,210528,SRM Tricutting SARM Blend,Xcel Sports Nutrition,,,,,,yes,no,no,no,no
https://dsld.od.nih.gov/label/210529,210529,Complex C,MegaFood,PO Box 5244,Manchester,NH,03108,,yes,no,no,no,no
https://dsld.od.nih.gov/label/210530,210530,Elite 100% Whey Gourmet Vanilla,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210531,210531,B-UnStressed,MegaFood,PO Box 5244,Manchester,NH,03108,,yes,no,no,no,no
https://dsld.od.nih.gov/label/210532,210532,Elite 100% Whey Rich Chocolate,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210533,210533,Natural Daily Fiber,CVS Pharmacy Inc.,One CVS Drive,Woonsocket,RI,02895,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210534,210534,Elite 100% Whey Rich Chocolate,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210535,210535,100% Beef Aminos,Universal Nutrition,,New Brunswick,New Jersey,08901,USA,yes,no,no,no,no
